release_date,genre_ids,id,title,popularity,vote_count,vote_average
245,9/1/2015,35.0,309810,Regular Show: The Movie,1.264639,28,7.4
246,6/28/2002,16.0,11918,Hey Arnold! The Movie,1.25735,44,5.6
247,3/22/2000,35.0,137106,Otto - The Disaster Movie,1.148564,12,4.5
248,10/25/2002,10749.0,4257,The Dog Trick,1.129902,6,4.8
249,9/15/2005,35.0,22797,The Cabin Movie,1.244054,1,0.0
250,2/24/2017,99.0,35,Robin Schulz - The Movie,1.135225,0,0.0
251,7/24/2016,35.0,226,Looking: The Movie,1.23623,50,7.0
252,1/29/2016,,2631,El Americano: The Movie,1.227109,2,1.0
253,5/30/2009,18.0,10073,Rookies the Movie: Graduation,1.143124,2,2.5
254,4/17/1993,28.0,416252,Gosei Sentai Dairanger: The Movie,1.142514,3,3.0
255,7/18/1980,28.0,11836,Cheech & Chong's Next Movie,1.553939,50,6.2
256,5/19/2009,35.0,85420,Steppin: The Movie,1.216226,3,4.3
257,3/10/2012,35.0,13805,Big Time Movie,1.215551,15,6.8
258,12/20/2013,35.0,4258,The Harry Hill Movie,1.212065,9,4.0
259,12/20/2002,16.0,2355,The Wild Thornberrys Movie,1.207741,34,5.8
260,4/28/2006,35.0,4247,Another Gay Movie,1.205973,39,5.3
261,10/6/1995,28.0,87818,Macross Plus: Movie Edition,1.199455,26,7.2
262,1/27/2004,28.0,5559,Comic Book: The Movie,1.199035,2,6.0
263,12/6/2014,28.0,153518,The Last: Naruto the Movie,1.520413,111,7.4
264,8/6/1994,16.0,324849,Street Fighter II: The Animated Movie,1.196784,23,6.4
265,7/18/2006,16.0,309810,Queer Duck: The Movie,1.195493,4,4.8
266,1/22/1984,12.0,11918,Airwolf: The Movie,1.188266,20,5.3
267,3/17/2000,14.0,137106,Digimon: The Movie,1.184305,46,6.0
268,2/6/2017,99.0,4257,The MovieLand Movie,1.068515,0,0.0
269,7/25/2014,35.0,22797,The Fluffy Movie,1.177982,36,6.8
270,11/19/2013,28.0,35,Moto 5: The Movie,1.176871,0,0.0
271,1/27/2017,10749.0,226,Mischievous Kiss The Movie: Campus,1.100159,0,0.0
272,8/8/2012,28.0,2631,Nitro Circus: The Movie,1.172611,35,6.4
273,2/18/2017,28.0,10073,Sword Art Online The Movie: Ordinal Scale,1.638388,6,7.8
274,1/10/1999,16.0,416252,Batman Beyond: The Movie,1.170537,30,7.3
275,3/23/1985,12.0,11836,The Care Bears Movie,1.167844,22,5.3
276,10/27/2017,878.0,85420,Untitled Cloverfield Movie,1.166729,1,0.0
277,6/17/1977,878.0,13805,J.A.K.Q. Dengekitai: The Movie,1.07085,0,0.0
278,3/1/2001,28.0,4258,Gerak Khas The Movie,1.163096,0,0.0
279,7/11/2009,35.0,2355,Gokusen The Movie,1.084511,0,0.0
280,1/1/2009,99.0,4247,Best Worst Movie,1.158335,40,7.4
281,8/29/2008,,87818,Wubbzy's Big Movie!,1.013128,0,0.0
282,9/29/1971,18.0,5559,The Last Movie,1.153675,4,6.5
283,6/24/2015,27.0,153518,E.N.D. - The Movie,1.007785,1,10.0
284,7/16/1987,35.0,324849,Otto - The New Movie,1.058297,8,4.3
285,6/7/2008,53.0,309810,Escape Captivity:  The Movie,1.058297,1,6.0
286,11/7/1985,28.0,11918,Grunt! The Wrestling Movie,1.15,1,7.0
287,5/3/2017,28.0,137106,Last Cop The Movie,1.149041,0,0.0
288,10/7/2003,16.0,4257,Caillou's Holiday Movie,1.004039,0,0.0
289,8/13/2004,12.0,22797,Yu-Gi-Oh! The Movie,1.478154,55,5.3
290,3/1/2012,,35,"4'33"" The Movie",1.00143,0,0.0
291,3/10/1939,,226,Porky's Movie Mystery,1.000471,0,0.0
292,,,2631,X-Girl Movie,1.000416,0,0.0
293,10/2/2007,16.0,10073,Elf Bowling the Movie,1.142794,0,0.0
294,12/3/1916,,416252,Luke's Movie Muddle,1.000315,2,3.5
295,11/22/2014,35.0,11836,Hello Ladies: The Movie,1.142433,47,6.4
296,1/1/1988,35.0,85420,Bar-B-Que Movie,1.000033,0,0.0
297,1/1/1970,,13805,Christopher's Movie Matinee,1.000001,0,0.0
298,,,4258,Jeff''s Movie,1.0,0,0.0
299,4/1/2016,35.0,2355,Rescue Dogs The Movie,1.139275,2,4.0
300,4/30/1998,18.0,4247,Night Calls: The Movie,1.1354,0,0.0
301,2/21/2002,35.0,87818,Anak Mami The Movie,1.132571,0,0.0
302,2/5/2014,35.0,5559,ABNKKBSNPLAKo?! The Movie,1.127241,0,0.0
303,1/23/2016,28.0,153518,Nobunaga Concerto: The Movie,1.123087,2,7.0
304,3/16/1973,878.0,324849,Kamen Rider V3: The Movie,1.05,0,0.0
305,6/25/2014,14.0,309810,Under - The Movie,1.016005,0,0.0
306,8/28/2009,12.0,11918,Wizards of Waverly Place: The Movie,1.895703,195,5.8
307,8/1/1987,16.0,137106,G.I. Joe: The Movie,1.38747,14,6.6
308,8/6/2006,35.0,4257,National Lampoon's TV: The Movie,1.02856,4,4.3
309,8/7/2009,35.0,22797,Winnie & Karina - The Movie,1.062501,2,5.5
310,5/1/1991,35.0,35,F.A.R.T.: The Movie,1.010125,1,3.0
311,5/14/1997,18.0,226,Calvento Files The Movie,1.114471,0,0.0
312,1/1/2008,16.0,2631,Sundri - The Movie,1.009556,0,0.0
313,1/1/2018,28.0,10073,Kung Fury II: The Movie,1.042422,0,0.0
314,8/22/1987,12.0,416252,The Garbage Pail Kids Movie,1.407212,15,2.9
315,8/24/2010,,11836,Made... The Movie,1.006209,1,4.0
316,6/13/2003,10770.0,85420,The Even Stevens Movie,1.110026,39,5.4
317,9/16/2013,16.0,13805,Dick Figures: The Movie,1.109964,6,6.4
318,1/1/1963,99.0,4258,Ingmar Bergman Makes a Movie,1.021471,1,8.0
319,11/19/2015,,2355,Twizzlers - The Movie,1.004757,0,0.0
320,9/19/2015,99.0,4247,Voëlvry - The Movie,1.004335,0,0.0
321,6/5/2015,12.0,87818,TubeClash - The Movie,1.00413,1,10.0
322,3/4/2005,35.0,5559,My Big Fat Independent Movie,1.397227,3,3.0
323,8/18/2000,18.0,153518,Steal This Movie,1.105709,10,6.1
324,4/4/2010,99.0,324849,The 'Socalled' Movie,1.001953,1,5.0
325,10/3/2013,,309810,Lifesavers - The Movie,1.001714,0,0.0
326,6/29/2013,,11918,Dinner and a Movie,1.001572,1,5.0
327,8/2/2008,,137106,T.V.: The Movie,1.000868,1,1.0
328,12/9/2009,,4257,Rolandz: The Movie,1.000776,0,0.0
