release_date,genre_ids,id,title,popularity,vote_count,vote_average
4/30/1998,18,447628,Night Calls: The Movie,1.1354,0,0
2/21/2002,35,283130,Anak Mami The Movie,1.132571,0,0
2/5/2014,35,254866,ABNKKBSNPLAKo?! The Movie,1.127241,0,0
1/23/2016,28,361358,Nobunaga Concerto: The Movie,1.123087,2,7
3/16/1973,878,265526,Kamen Rider V3: The Movie,1.05,0,0
6/25/2014,14,328677,Under - The Movie,1.016005,0,0
8/28/2009,12,26736,Wizards of Waverly Place: The Movie,1.895703,195,5.8
8/1/1987,16,17421,G.I. Joe: The Movie,1.38747,14,6.6
8/6/2006,35,39163,National Lampoon's TV: The Movie,1.02856,4,4.3
8/7/2009,35,46354,Winnie & Karina - The Movie,1.062501,2,5.5
5/1/1991,35,72692,F.A.R.T.: The Movie,1.010125,1,3
5/14/1997,18,362372,Calvento Files The Movie,1.114471,0,0
1/1/2008,16,448372,Sundri - The Movie,1.009556,0,0
1/1/2018,28,412012,Kung Fury II: The Movie,1.042422,0,0
8/22/1987,12,14443,The Garbage Pail Kids Movie,1.407212,15,2.9
8/24/2010,,46763,Made... The Movie,1.006209,1,4
6/13/2003,10770,50794,The Even Stevens Movie,1.110026,39,5.4
9/16/2013,16,222671,Dick Figures: The Movie,1.109964,6,6.4
1/1/1963,99,50950,Ingmar Bergman Makes a Movie,1.021471,1,8
11/19/2015,,369741,Twizzlers - The Movie,1.004757,0,0
9/19/2015,99,446179,Voëlvry - The Movie,1.004335,0,0
6/5/2015,12,390524,TubeClash - The Movie,1.00413,1,10
3/4/2005,35,27404,My Big Fat Independent Movie,1.397227,3,3
8/18/2000,18,18153,Steal This Movie,1.105709,10,6.1
4/4/2010,99,201867,The 'Socalled' Movie,1.001953,1,5
10/3/2013,,351871,Lifesavers - The Movie,1.001714,0,0
6/29/2013,,318361,Dinner and a Movie,1.001572,1,5
8/2/2008,,246610,T.V.: The Movie,1.000868,1,1
12/9/2009,,68273,Rolandz: The Movie,1.000776,0,0
10/31/2006,99,89322,PEZheads - The Movie,1.00059,0,0
1/1/1990,,415259,Christ - The Movie,1.000405,0,0
12/10/1993,,76181,U.F.O. The Movie,1.000399,0,0
1/4/1997,10749,294964,T.G.I.S.: The Movie,1.00035,0,0
2/5/1969,,254117,Computer Movie No.2,1.000263,0,0
11/11/2011,18,317134,Sailor Moon the Movie,1.103659,0,0
1/1/2001,,271516,Friggin' Mafia Movie,1.000215,0,0
1/1/1981,,189455,Manne - the Movie,1.000199,0,0
12/31/1993,99,423580,Quicksand: The Movie,1.00015,1,9
1/1/1996,28,192833,R.I.O.T.: The Movie,1.000144,1,4
,,425963,Showdown - The Movie,1,0,0
,,425963,Showdown - The Movie,1,0,0
,,412373,DJ:RÖV The Movie,1,0,0
6/30/1995,28,9070,Mighty Morphin Power Rangers: The Movie,1.858924,108,5.3
8/30/2013,99,187978,American Made Movie,1.100121,1,6.5
4/15/1995,878,366627,Choriki Sentai Ohranger: The Movie,1.02679,0,0
4/9/1992,35,264340,German Fried Movie,1.1,2,1
6/6/1977,35,181065,A Movie and Breakfast,1.00675,0,0
9/27/2013,,242263,Molly & Wors The Movie,1.006668,0,0
8/28/2015,28,334372,Yowamushi Pedal: The Movie,1.006311,2,9
2/14/2014,35,233839,ゲームセンターCX: THE MOVIE,1.002505,0,0
2/2/2012,9648,112293,Park Road - the Movie,1.001772,2,3.3
6/10/2010,99,331281,Salewa Rockshow - The Movie,1.000836,0,0
5/31/2006,35,232764,Noo Hin - The Movie,1.000457,1,5
8/28/1986,35,115316,A King and His Movie,1.000332,2,2
5/9/1987,12,418531,Treasure Island: The Movie,1.000025,0,0
12/25/1988,10751,80309,Darfinkar & Donickar: The Movie,1.00001,2,7
1/1/1989,28,43478,Dog City: The Movie,1.088415,0,0
2/7/2008,35,306728,Dunia Baru The Movie,1.086845,0,0
10/4/2002,28,15173,Jonah: A VeggieTales Movie,1.085547,20,6.2
12/23/2015,35,373976,The PHD Movie 2,1.085249,0,0
12/7/2013,28,239529,Lupin the Third vs. Detective Conan: The Movie,1.828767,29,6.3
9/4/2003,,247384,Aku Kaya The Movie,1.084971,0,0
10/18/2016,35,421745,Undecided: The Movie,1.083917,0,0
2/21/2013,35,207402,The Hardy Bucks Movie,1.081802,3,5.2
4/28/2014,99,266880,Giuseppe Makes a Movie,1.081514,4,6.4
11/26/2011,35,219896,Kaibutsu-kun: The Movie,1.030041,0,0
8/21/2015,35,348296,The Bad Education Movie,1.080599,34,5.3
4/14/2016,35,393080,F#cking Telemarketers The Movie!,1.010719,0,0
9/18/2010,35,45839,FRED: The Movie,1.078548,21,3.7
2/2/1970,18,327961,The Movie Murderer,1.0785,1,7.5
7/24/2015,35,311615,Smosh: The Movie,1.075899,74,5.2
6/3/2008,10751,201398,Carsten & Gitte's Movie Madness,1.00641,0,0
12/31/2015,35,352758,Movie Mind Machine,1.074441,0,0
5/3/2014,12,314911,My Little Nightmare: The Movie,1.006167,0,0
9/12/2008,35,14760,Gym Teacher: The Movie,1.074119,2,3
1/21/2016,16,422032,The Tayo Movie: Mission Ace,1.005573,0,0
11/28/2014,16,304167,Balgar: The Movie,1.003587,4,6.8
6/30/1994,,72596,Movie Days,1.002003,2,5.5
5/14/2012,18,110698,Made In Denmark: The Movie,1.001195,0,0
12/31/2017,10749,438658,Mischievous Kiss The Movie: Propose,1.001031,0,0
7/14/1978,16,331399,Gatchaman the Movie,1.000822,1,10
7/12/1980,878,439070,Denshi Sentai Denziman: The Movie,1.000554,0,0
4/16/1994,28,172349,Ninja Sentai Kakuranger: The Movie,1.000298,0,0
3/17/1989,878,440503,Kousoku Sentai Turboranger: the Movie,1.000017,0,0
,,345905,In Exile: A Family Movie,1,0,0
3/15/1985,878,440436,Dengeki Sentai Changeman: The Movie,1,0,0
7/26/1975,878,439060,Himitsu Sentai Gorenger: The Movie,1,0,0
3/12/1983,878,439392,Kagaku Sentai Dynaman: The Movie,1,0,0
4/20/2002,28,41421,eX-Driver the Movie,1.015837,0,0
4/20/2016,,396528,NFG the Movie,1.063867,0,0
5/3/1990,35,20701,Tales from the Darkside: The Movie,1.783018,75,5.9
1/1/2006,18,21959,Mushi-Shi: The Movie,1.011651,7,6.3
8/1/2016,10751,409395,Odd Squad: The Movie,1.056496,0,0
7/27/2014,18,362755,GThai Movie 6: The Ghost of Pranakong,1.771381,0,0
2/25/2012,,162143,It's Not a Cowboy Movie,1.005192,1,5
10/6/2006,28,9958,Trailer Park Boys: The Movie,1.325862,41,6.8
8/21/2009,35,267649,The World's Most Violent Movie,1.001415,0,0
6/25/2010,18,44158,This Movie Is Broken,1.050617,5,3.9
7/22/1978,28,438561,Spider-Man The Movie,1.000182,2,6
12/29/1981,16,126741,Space Warrior Baldios: The Movie,1.000035,2,6.5
10/24/2000,16,34772,Sin: The Movie,1.048513,0,0
1/1/1987,,40543,Robotix The Movie,1.047762,2,5.5
,,47977,The Airblaster Movie,1.045,0,0
6/25/2004,27,25033,The Last Horror Movie,1.044793,8,5.8
6/13/1982,,353393,Snow: The Movie,1.043875,0,0
7/28/2012,14,118406,Naruto Shippuden the Movie: Road to Ninja,1.746046,56,7.4
6/8/2001,12,124111,Jett Jackson: The Movie,1.042141,3,4.2
